Date,State,Channel,Product,Volume,Data Type
2022-06-01,KY,PHYSICAL,PDL,8162.0,Historical
2022-06-01,LA,DIGITAL,PDL,2625.0,Historical
2022-06-01,LA,PHYSICAL,PDL,13630.0,Historical
2022-06-01,MI,DIGITAL,PDL,9184.0,Historical
2022-06-01,MI,PHYSICAL,PDL,37989.0,Historical
2022-06-01,MO,DIGITAL,ILP,259.0,Historical
2022-06-01,MO,DIGITAL,PDL,744.0,Historical
2022-06-01,MO,PHYSICAL,ILP,1551.0,Historical
2022-06-01,MO,PHYSICAL,PDL,4573.0,Historical
2022-06-01,MS,DIGITAL,ILP,236.0,Historical
2022-06-01,MS,DIGITAL,PDL,1204.0,Historical
2022-06-01,MS,PHYSICAL,ILP,1795.0,Historical
2022-06-01,MS,PHYSICAL,PDL,11406.0,Historical
2022-06-01,NV,DIGITAL,ILP,63.0,Historical
2022-06-01,NV,PHYSICAL,ILP,528.0,Historical
2022-06-01,OH,DIGITAL,ILP,1517.0,Historical
2022-06-01,OH,PHYSICAL,ILP,6568.0,Historical
2022-06-01,OK,DIGITAL,ILP,485.0,Historical
2022-06-01,OK,PHYSICAL,ILP,1988.0,Historical
2022-06-01,RI,DIGITAL,PDL,296.0,Historical
2022-06-01,RI,PHYSICAL,PDL,7666.0,Historical
2022-06-01,TN,DIGITAL,PDL,600.0,Historical
2022-06-01,TN,PHYSICAL,PDL,4356.0,Historical
2022-06-01,TX,DIGITAL,ILP,2316.0,Historical
2022-06-01,TX,DIGITAL,PDL,3903.0,Historical
2022-06-01,TX,PHYSICAL,ILP,5329.0,Historical
2022-06-01,TX,PHYSICAL,PDL,8604.0,Historical
2022-06-01,UT,DIGITAL,ILP,14.0,Historical
2022-06-01,UT,PHYSICAL,ILP,69.0,Historical
2022-06-01,WI,DIGITAL,ILP,184.0,Historical
2022-06-01,WI,PHYSICAL,ILP,681.0,Historical
2022-06-01,WY,DIGITAL,PDL,459.0,Historical
2022-06-01,WY,PHYSICAL,PDL,3030.0,Historical
2022-07-01,AL,DIGITAL,ILP,123.0,Historical
2022-07-01,AL,DIGITAL,PDL,1937.0,Historical
2022-07-01,AL,PHYSICAL,ILP,382.0,Historical
2022-07-01,AL,PHYSICAL,PDL,16630.0,Historical
2022-07-01,CA,DIGITAL,PDL,16255.0,Historical
2022-07-01,CA,PHYSICAL,PDL,64180.0,Historical
2022-07-01,CO,DIGITAL,ILP,413.0,Historical
2022-07-01,CO,PHYSICAL,ILP,2337.0,Historical
2022-07-01,DE,DIGITAL,ILP,54.0,Historical
2022-07-01,DE,PHYSICAL,ILP,262.0,Historical
2022-07-01,FL,DIGITAL,ILP,3304.0,Historical
2022-07-01,FL,DIGITAL,PDL,4865.0,Historical
2022-07-01,FL,PHYSICAL,ILP,17735.0,Historical
2022-07-01,FL,PHYSICAL,PDL,34727.0,Historical
2022-07-01,IA,DIGITAL,PDL,1094.0,Historical
2022-07-01,IA,PHYSICAL,PDL,10847.0,Historical
2022-07-01,ID,DIGITAL,ILP,22.0,Historical
2022-07-01,ID,PHYSICAL,ILP,148.0,Historical
2022-07-01,IN,DIGITAL,PDL,1857.0,Historical
2022-07-01,IN,PHYSICAL,PDL,18901.0,Historical
2022-07-01,KS,DIGITAL,PDL,454.0,Historical
2022-07-01,KS,PHYSICAL,PDL,3040.0,Historical
2022-07-01,KY,DIGITAL,PDL,3.0,Historical
2022-07-01,KY,PHYSICAL,PDL,8624.0,Historical
2022-07-01,LA,DIGITAL,PDL,2723.0,Historical
2022-07-01,LA,PHYSICAL,PDL,13513.0,Historical
2022-07-01,MI,DIGITAL,PDL,9976.0,Historical
2022-07-01,MI,PHYSICAL,PDL,41469.0,Historical
2022-07-01,MO,DIGITAL,ILP,249.0,Historical
2022-07-01,MO,DIGITAL,PDL,691.0,Historical
2022-07-01,MO,PHYSICAL,ILP,1468.0,Historical
2022-07-01,MO,PHYSICAL,PDL,4079.0,Historical
2022-07-01,MS,DIGITAL,ILP,234.0,Historical
2022-07-01,MS,DIGITAL,PDL,1131.0,Historical
2022-07-01,MS,PHYSICAL,ILP,1751.0,Historical
2022-07-01,MS,PHYSICAL,PDL,10757.0,Historical
2022-07-01,NV,DIGITAL,ILP,59.0,Historical
2022-07-01,NV,PHYSICAL,ILP,462.0,Historical
2022-07-01,OH,DIGITAL,ILP,1399.0,Historical
2022-07-01,OH,PHYSICAL,ILP,5964.0,Historical
2022-07-01,OK,DIGITAL,ILP,455.0,Historical
